"Index","Open","High","Low","Close","Volume"
"1970-01-02",1023.75,1040.25,1023.25,1034,66661
"1970-01-03",1032.75,1038.75,1029.25,1029.75,56881
"1970-01-04",1032.75,1042.25,1032.25,1038.75,56661
"1970-01-05",1042.75,1047.75,1039.25,1041,56961
"1970-01-06",1040.75,1042.75,1037.25,1040,35376
"1970-01-07",1040.75,1053.25,1036.25,1052.5,57031
"1970-01-08",1050.75,1055.75,1046.75,1048,47361
"1970-01-09",1048.75,1049.75,1043.75,1047.25,37051
"1970-01-10",1049.75,1053.75,1046.25,1047.25,33991
"1970-01-11",1049.75,1052.75,1047.25,1051.75,39156
"1970-01-12",1052.75,1060.25,1051.25,1058.25,40716
"1970-01-13",1060.25,1060.25,1053,1055.25,46271
"1970-01-14",1054.75,1057.75,1052.25,1057.25,27411
"1970-01-15",1054.75,1054.75,1038.25,1040.25,53856
"1970-01-16",1042.75,1043.75,1038.75,1041.5,30801
"1970-01-17",1028.75,1028.75,1021.5,1021.5,23676
"1970-01-18",1024.75,1026.75,1017.25,1023.25,40631
"1970-01-19",1022.75,1028.25,1021.25,1027.75,26921
"1970-01-20",1025.75,1032.5,1025.75,1030.75,28151
"1970-01-21",1032.75,1034.75,1027.25,1032.25,28706
"1970-01-22",1039.25,1046.75,1033.75,1044.75,35001
"1970-01-23",1045.75,1045.75,1036.75,1039.25,31311
"1970-01-24",1037.75,1044.75,1034.75,1042.5,40271
"1970-01-25",1040.75,1048.25,1039.75,1043.25,40671
"1970-01-26",1043.75,1043.75,1039.25,1041,23441
"1970-01-27",1040.75,1050.75,1039.25,1050,39461
"1970-01-28",1048.75,1052.25,1040.75,1041.5,39591
"1970-01-29",1042.75,1047.25,1042.75,1045.5,22686
"1970-01-30",1049.25,1050.75,1045.25,1047.75,23036
"1970-01-31",1048.75,1050.5,1042.75,1045.25,27261
"1970-02-01",1046.75,1052.25,1044.75,1051.25,23996
"1970-02-02",1047.75,1049.75,1046,1046.5,29476
"1970-02-03",1050.75,1050.75,1045.75,1046.25,24416
"1970-02-04",1046.25,1046.25,1037.25,1043.25,27886
"1970-02-05",1043.75,1045.25,1039.75,1043.5,31476
