"Index","Open","High","Low","Close","Volume"
"1970-01-02",959,964,959,962,52471
"1970-01-03",961.5,964,960.75,961.5,43171
"1970-01-04",962,969.5,961.5,966,78336
"1970-01-05",967,968.25,965.25,965.75,59036
"1970-01-06",965,966,963.5,963.75,37011
"1970-01-07",963.75,967,962.75,966.75,46391
"1970-01-08",967,968.5,966.5,967.5,46206
"1970-01-09",966.75,967.5,965.75,967.25,36436
"1970-01-10",968,968.5,966,966.25,32756
"1970-01-11",968,968.5,966.25,967.5,41666
"1970-01-12",968,970.5,967.25,969.75,50876
"1970-01-13",970,971,969.5,970.25,37571
"1970-01-14",969.5,969.5,967.5,967.5,38786
"1970-01-15",967.25,967.25,964,965.5,54561
"1970-01-16",965.5,968.5,964.5,968.25,44131
"1970-01-17",960,960,958.25,958.25,47846
"1970-01-18",958,959,955.5,958.75,49021
"1970-01-19",959.5,960.5,958,960.25,30256
"1970-01-20",960.5,961.75,960,961,20716
"1970-01-21",961.5,962.5,961,962,27736
"1970-01-22",963.5,965,962.25,964.75,36486
"1970-01-23",965.5,966,963.5,963.75,33411
"1970-01-24",963.25,964.5,962.25,963,31226
"1970-01-25",962.75,964.5,962.5,963.5,21821
"1970-01-26",963.5,964,962.5,962.5,21271
"1970-01-27",962.75,965.5,962.75,964.5,42561
"1970-01-28",965,968,964.25,965.25,61581
"1970-01-29",968,968,966.5,966.75,27501
"1970-01-30",967.75,968.5,966.5,967.25,31281
"1970-01-31",967.5,968.25,966,966.25,33686
"1970-02-01",968,968,966.5,966.75,26081
"1970-02-02",966.5,966.75,965.5,965.75,26941
"1970-02-03",966.5,967.25,966.25,966.5,23571
"1970-02-04",966.25,966.5,965.25,965.5,31016
"1970-02-05",965.5,966.75,965.5,966.5,44606
"1970-02-06",966.75,967.75,965.75,966,59591
"1970-02-07",968,970.5,968,968.5,46981
"1970-02-08",968.5,969,967,967.25,28556
"1970-02-09",966.5,966.75,963,963.25,42231
"1970-02-10",963.5,965.25,963,965,25011
"1970-02-11",964,966.75,964,966,30201
"1970-02-12",966,967.25,965.25,966.5,25736
"1970-02-13",965.25,965.75,964.5,964.75,25156
"1970-02-14",965,966.25,965,965.5,23471
"1970-02-15",965.5,966.5,964.75,965,32251
"1970-02-16",965,965.25,964,964,24836
"1970-02-17",963,963.5,962,962.25,34581
"1970-02-18",962,962.25,959.5,959.5,38266
"1970-02-19",959.25,960,958.5,958.5,30191
"1970-02-20",959,961.75,958.75,961.5,29216
"1970-02-21",962.5,964.25,962.5,963.75,37066
"1970-02-22",963.5,965.5,963,963.5,42841
"1970-02-23",964,964.5,963,964.25,28876
"1970-02-24",964.25,964.25,960,960,35106
"1970-02-25",960,961,959.25,960.25,21211
"1970-02-26",961,961.75,959,959.25,24861
"1970-02-27",959.5,959.75,957.75,958.5,20656
"1970-02-28",958,958,955.5,955.75,36276
"1970-03-01",956,957.5,956,957.5,26271
"1970-03-02",958.25,958.25,956,956,25926
"1970-03-03",956,956.25,954.75,955.75,25921
"1970-03-04",956.5,957.25,956,956.25,15911
"1970-03-05",955.75,957.75,955,957.5,24676
"1970-03-06",957.75,959.5,957.5,958.5,33286
"1970-03-07",958,959.5,957.5,957.75,22506
"1970-03-08",957.25,958.5,956,957.75,33031
"1970-03-09",957.25,958.25,956.75,957,26341
"1970-03-10",956,957.75,955.5,956.5,27186
"1970-03-11",956,956.25,954.75,954.75,31451
"1970-03-12",954.25,955.75,954.25,954.75,27266
"1970-03-13",954.75,958,954.75,957.5,32211
"1970-03-14",956.25,957.5,956,957,25306
"1970-03-15",956.25,960,956.25,957,44446
"1970-03-16",956.5,957.5,956,957.5,30316
"1970-03-17",957.75,958.5,957.25,958.5,28846
"1970-03-18",960.25,960.25,958,958.5,36151
"1970-03-19",957.5,958.25,956.5,957.75,34591
"1970-03-20",959,959,957.75,958,39061
"1970-03-21",958,962,957.75,961.75,54926
"1970-03-22",963,963.25,959.5,959.75,40051
"1970-03-23",959.25,961.5,959.25,960.75,21581
"1970-03-24",961.75,962,961,962,23331
"1970-03-25",961.5,962.75,961,961.25,33481
"1970-03-26",961,962.5,961,961.75,29066
"1970-03-27",962.5,963.75,961.5,963.5,40806
"1970-03-28",964.5,965.75,963.75,965.25,54946
"1970-03-29",966,968.5,965.5,967,56746
"1970-03-30",968.5,969,966.5,967.25,49511
"1970-03-31",968,971.25,967.25,969.5,50446
"1970-04-01",968.5,973,968.5,972.75,58391
"1970-04-02",975,978,973.75,974.75,59831
"1970-04-03",974.5,975.75,971,971.25,76131
"1970-04-04",971,972,969.75,970.25,54146
"1970-04-05",970,970.5,968.75,969,42056
"1970-04-06",970,972.25,970,970,48276
"1970-04-07",971,974,969.75,973.25,63881
"1970-04-08",974.5,982,974.5,979.25,82891
"1970-04-09",979.5,980.5,975.5,977,75261
"1970-04-10",977,979.25,977,978,59361
"1970-04-11",981,984,979,980.25,69281
"1970-04-12",978.5,978.5,975.75,977.75,56721
"1970-04-13",977,980,976,978.75,58286
"1970-04-14",980.5,982,978.5,979.75,58826
"1970-04-15",980,983.75,980,982,65456
"1970-04-16",983,985,983,983.75,56041
"1970-04-17",988,993.75,988,992.75,62661
"1970-04-18",996.5,1001.5,987.75,989.25,101491
"1970-04-19",993,993.25,988.25,992,66866
"1970-04-20",998.25,1001,993.5,996,73611
"1970-04-21",995.5,995.5,989,990.75,70336
"1970-04-22",990,993.5,987.5,987.75,55136
"1970-04-23",988,988,982,983.5,69876
"1970-04-24",984,987.5,981.5,981.75,46751
"1970-04-25",982,983.75,973.5,976.75,75201
"1970-04-26",976.5,980,976,976.5,35961
"1970-04-27",977,986.5,977,986.5,35271
"1970-04-28",992,995,988,991.75,61911
"1970-04-29",987,987.5,981.75,983.25,51041
"1970-04-30",982.5,988,979.5,986.5,48896
"1970-05-01",989,991.75,986.25,989,40536
"1970-05-02",989,990.5,986,986.5,32221
"1970-05-03",985.75,985.75,979,979.25,54291
"1970-05-04",977,980.5,974.5,975.75,52056
"1970-05-05",975.25,985.25,974.25,983.25,34971
"1970-05-06",987.25,989.75,984.25,985.75,25111
"1970-05-07",990.25,995.25,988.75,995,33256
"1970-05-08",995.25,995.25,985,985,33386
"1970-05-09",987.25,989.75,984.25,988.75,31466
"1970-05-10",990.25,991.25,987.25,989.25,26541
"1970-05-11",988.75,990.75,982.75,985.75,32396
"1970-05-12",985.25,987.75,982.25,987,24101
"1970-05-13",989.25,997,988.75,997,38516
"1970-05-14",996.25,996.25,987,989.25,42581
"1970-05-15",989.25,989.25,986.25,988.5,26536
"1970-05-16",988.75,989.75,979.25,981,38851
"1970-05-17",981.25,987.25,979.5,984.5,23586
"1970-05-18",983.25,986.75,980.5,981,28511
"1970-05-19",979.25,979.25,971,971.25,41336
"1970-05-20",971.5,976.25,971.5,974.25,23531
"1970-05-21",974.75,974.75,969.25,969.5,24506
"1970-05-22",969.25,973.25,968.25,970.25,23981
"1970-05-23",970.25,974.25,969.75,971.25,19006
"1970-05-24",971.25,973,970.75,971.75,24001
"1970-05-25",972.5,973.75,970.25,970.5,26941
"1970-05-26",970.25,970.25,965.25,965.5,33361
